Name,Added,Citation issue,DOI,Graph feature,Authors,Dataset used,Dataset tag,Evaluation qual/quant,Evaluation type,Notes,link,year,paper type,dataset size,Conference,Technique,samples sum
"An Integer-Linear Program
for Bend-Minimization in Ortho-Radial
Drawings",No,No,https://doi.org/10.1007/978-3-030-68766-3_19,"ortho, ortho-radial",,Rome-Lib,Rome-Lib,,"aggregate, measures bends",,https://link.springer.com/content/pdf/10.1007%2F978-3-030-68766-3.pdf,2020,algorithm,4048 (Rome-Lib < 44 nodes),GD 2020,,4048
"Layered Drawing of Undirected Graphs
with Generalized Port Constraints",No,No,10.1007/978-3-030-68766-3_18,"Layered graphs, many layers, port constraints",,cable plans of a german company (says dataset is on github),,,aggregate. measures ratio of crossings and ratio of bends,,https://link.springer.com/content/pdf/10.1007%2F978-3-030-68766-3.pdf,2020,algorithm,380,GD 2020,,380
"VAIM: Visual Analytics for Influence
Maximization",No,No,10.1007/978-3-030-68766-3_9,,,fb-combined from stanford snap,SNAP,,visual only,lacking evaluation,https://link.springer.com/content/pdf/10.1007%2F978-3-030-68766-3.pdf,2020,algorithm,1,GD 2020,,1
"HOTVis: Higher-Order Time-Aware
Visualisation of Dynamic Graphs",No,No,10.1007/978-3-030-68766-3_8,"dynamic, temporal event sequence",,"some custom sets: flights, tube, hospital, workplace, school + synthetic",,,"visual + aggregate. measures edge crossings, causal path dispersion and closeness eccentricity",okay evaluation,https://link.springer.com/content/pdf/10.1007%2F978-3-030-68766-3.pdf,2020,algorithm,6,GD 2020,,6
"Stochastic Gradient Descent Works
Really Well for Stress Minimization",No,No,10.1007/978-3-030-68766-3_2,,,their own custom chosen set,custom,,visual evaluation + aggregates,,https://link.springer.com/content/pdf/10.1007%2F978-3-030-68766-3.pdf,2020,algorithm,6,GD 2020,,6
"Graph Drawing via Gradient
Descent, (GD)2",No,No,https://doi.org/10.1007/978-3-030-68766-3_1,,,their own custom chosen set,custom,,"visual evaluation. measures crossings, stress, neighbor preservation, vertex resolution, crossing angle, ideal edge length, angular resolution, gabriel graph property, aspect ratio",,https://link.springer.com/content/pdf/10.1007%2F978-3-030-68766-3.pdf,2020,algorithm,10,GD 2020,,10
"Deep Neural Network for DrawiNg
Networks, (DN N )2",No,No,10.1007/978-3-030-92931-2_27,,"Loann Giovannangeli , Frederic Lalanne , David Auber ,
Romain Giot , and Romain Bourqui","Rome-Lib, random graphs","Rome-Lib, custom (random)",,,has a visual evaluation of the results,https://link.springer.com/content/pdf/10.1007%2F978-3-030-92931-2.pdf,2021,algorithm,12534,GD 2021,,12534
"Layered Area-Proportional Rectangle
Contact Representations",No,No,10.1007/978-3-030-92931-2_23,Layered graphs,"Martin N ̈ollenburg , Ana ̈ıs Villedieu , and Jules Wulms",no experiment,none,,,,https://link.springer.com/content/pdf/10.1007%2F978-3-030-92931-2.pdf,2021,algorithm,,GD 2021,ILP,
"Unit Disk Representations of Embedded
Trees, Outerplanar and Multi-legged
Graphs",No,No,10.1007/978-3-030-92931-2_22,,"Sujoy Bhore , Maarten L ̈offler, Soeren Nickel ,
and Martin N ̈ollenburg",no experiment,none,,,,https://link.springer.com/content/pdf/10.1007%2F978-3-030-92931-2.pdf,2021,"algorithm, proof",,GD 2021,,
"Quasi-upward Planar Drawings
with Minimum Curve Complexity",No,No,10.1007/978-3-030-92931-2_14,,"Carla Binucci, Emilio Di Giacomo , Giuseppe Liotta ,
and Alessandra Tappini",no experiment,none,,,,https://link.springer.com/content/pdf/10.1007%2F978-3-030-92931-2.pdf,2021,algorithm,,GD 2021,,
"Planar Straight-Line Realizations
of 2-Trees with Prescribed Edge Lengths",No,No,10.1007/978-3-030-92931-2_12,binary trees,"Carlos Alegr ́ıa, Manuel Borrazzo, Giordano Da Lozzo,
Giuseppe Di Battista, Fabrizio Frati, and Maurizio Patrignani",no experiment,none,,,,https://link.springer.com/content/pdf/10.1007%2F978-3-030-92931-2.pdf,2021,algorithm,,GD 2021,,
Upward Planar Drawings with Three and More Slopes,No,No,10.1007/978-3-030-92931-2_11,,"Jonathan Klawitter, Johannes Zink",no experiment,none,,,,https://link.springer.com/content/pdf/10.1007%2F978-3-030-92931-2.pdf,2021,algorithm,,GD 2021,,
Visualizing JIT Compiler Graph,No,No,10.1007/978-3-030-92931-2_10,,"HeuiChan Lim, Stephen Kobourov",no experiment but mentions Chromium bug reports,none,,,,https://link.springer.com/content/pdf/10.1007%2F978-3-030-92931-2.pdf,2021,algorithm,,GD 2021,,
"Recognizing and Embedding Simple
Optimal 2-Planar Graphs",No,No,10.1007/978-3-030-92931-2_6,,"Henry F ̈orster , Michael Kaufmann ,
and Chrysanthi N. Raftopoulou",no experiment,none,,,,https://link.springer.com/content/pdf/10.1007%2F978-3-030-92931-2.pdf,2021,algorithm,,GD 2021,,
"Simplifying Non-simple Fan-Planar
Drawings",No,No,10.1007/978-3-030-92931-2_4,,"Boris Klemz , Kristin Knorr , Meghana M. Reddy ,
and Felix Schr ̈oder",no experiment,none,,,,https://link.springer.com/content/pdf/10.1007%2F978-3-030-92931-2.pdf,2021,algorithm,,GD 2021,,
"Star-Struck by Fixed Embeddings:
Modern Crossing Number Heuristics",No,No,10.1007/978-3-030-92931-2_3,,"Markus Chimani , Max Ilsen , and Tilo Wiedera","Complete, Complete-Bip., or KnownCR, Rome-Lib, [...] (open as page, see picture)","KnownCR, North Lib, Rome-Lib, complete graphs, complete-bip, custom",,,Open as page and see picture! This paper has good classification of existing tools,https://arxiv.org/abs/2108.11443,2021,comparison,6792,GD 2021,,6792
A Technique for Drawing Directed Graphs,No,No,,"Directed graphs, Layered graphs","Emden R. Gansner, Eleftherios Koutsofios, Stephen C. North, and Kiem-Phong Vo",no experiment,none,,,,https://www.researchgate.net/profile/Emden-Gansner/publication/3187542_A_Technique_for_Drawing_Directed_Graphs/links/5c0abd024585157ac1b04523/A-Technique-for-Drawing-Directed-Graphs.pdf,1993,,,IEEE Transactions on Software Engineering,,
Drawing Directed Acyclic Graphs: An Experimental Study,No,No,,Directed graphs,"G. Di Battista, A. Garg, G. Liotta, A. Parise, R Tamassia, E Tassinari, F Vargiu, L Vismara","North DAGs, Pert DAGs","North Lib, Pert DAG",,,"this paper has a fair amount of discussion on datasets.
not interesting in terms of what graphs they deal with, but very interesting in terms of discussion about datasets

introduces North Graphs!",https://www.researchgate.net/profile/Giuseppe-Liotta/publication/226769927_Drawing_directed_acyclic_graphs_An_experimental_study/links/09e41508af2c5405ea000000/Drawing-directed-acyclic-graphs-An-experimental-study.pdf,1996,,,International Journal of Computational Geometry & Applications,,
A Framework for Solving VLSI Graph Layout Problems,No,No,,grid layout,"Sandeep N. Bhatt, Frank Thomson Leighton",no experiment,none,,,,https://www.sciencedirect.com/science/article/pii/0022000084900710,1984,,,https://www.sciencedirect.com/journal/journal-of-computer-and-system-sciences,,
2-Layer Straightline Crossing Minimization,No,No,,"Layered graphs, two-level crossing minimiazation",Junger and Mutzel,random_bigraph from Stanford GraphBase,Stanford GraphBase,,,used in dagre,https://www.researchgate.net/profile/Petra-Mutzel/publication/30508315_2-Layer_Straightline_Crossing_Minimization_Performance_of_Exact_and_Heuristic_Algorithms/links/09e4150eabaf4cc7bd000000/2-Layer-Straightline-Crossing-Minimization-Performance-of-Exact-and-Heuristic-Algorithms.pdf,1997,,,Journal of Graph Algorithms and Applications,,
Simple and Efficient Bilayer Cross Counting,No,No,,"Layered graphs, two-level crossing minimiazation",Wilhelm Barth Petra Mutzel,AT&T,North Lib,,,"used in dagre

""Finally, we ran the algorithms on a selection of real-world graphs compiled
from the AT&T directed graph collection by Michael Kr ̈uger of the Max-Planck-
Institut f ̈ur Informatik in Saarbr ̈ucken. We used the first phase of the AGD
Sugiyama implementation in order to obtain layerings with the Longest-Path
and Coffman-Graham options from which we extracted the resulting layer pairs
as test instances. Thus, we compiled two collections of 30,061 instances and
57,300 instances, respectively. For each instance, we applied 10 random shuffles
of the northern and southern layers, each followed by a MEDIAN-ordered run
as explained above. So we ran a total of 601,220 and 1,146,000 instances of the
Longest-Path generated layer pairs and the Coffman-Graham generated layer
pairs, respectively""",https://jgaa.info/accepted/2004/BarthMutzelJuenger2004.8.2.pdf,2004,,,Journal of Graph Algorithms and Applications 2004,,
"An effective crossing minimisation heuristic
based on star insertion",No,No,http://dx.doi.org/10.7155/jgaa.00487,,"Kieran Clancy, Michael Haythorpe, Alex Newcombe","KnownCR (can’t find it), Rome-Lib, Complete, Complete-Bip","KnownCR, Rome-Lib, complete graphs, complete-bip",,,,https://arxiv.org/pdf/1804.09900.pdf,2019,algorithm,,Journal of Graph Algorithms and Applications 2019,,
An Improved Algorithm for the Metro-Line Crossing Minimization Problem,No,No,,terminals,Nollenburg,no experiment,none,,,,https://i11www.iti.kit.edu/extra/publications/n-iamlc-10.pdf,2009,algorithm,,LNTCS,,
A hierarchical O (N log N) force-calculation algorithm,No,No,,,"J Barnes, P Hut",no experiment,none,,,,https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/324446a0.pdf%3Forigin%3Dppub&casa_token=_bH6RCC4ACUAAAAA:6HvbghkoWPlmq3p5jP8b0VKSlHYvUG4N5vtxTvO-quOBuqKZQSeQYcpylNTLjlxHEzUzvp-Eb4V0w3mdaA,1986,,,Nature 1986,,
Reordering massive sequence views: Enabling temporal and structural analysis of dynamic networks,No,No,,"Layered graphs, dynamic, temporal event sequence","S van den Elzen, D Holten, J Blaas, JJ van Wijk",Enron dataset,Enron Dataset,,,not a real evaluation,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6596125,2013,algorithm,1,PacificVis 2013,,1
Optimal Sankey Diagrams via Integer Programming,No,No,,"Layered graphs, groups","Zarate, Le Bodic, Tim Dwyer, Gange, Stuckey",World Greenhouse Gas Emissions,World Greenhouse Gas Emissions,,,,https://ialab.it.monash.edu/~dwyer/papers/optimal-sankey-diagrams.pdf,2018,,,PacificVis 2018,ILP,
"ForceAtlas2, a Continuous Graph Layout Algorithm for Handy Network Visualization Designed for the Gephi Software",No,No,,,https://www.researchgate.net/profile/Mathieu-Jacomy?_sg%5B0%5D=fE-MjRPEupqNatnumhF6dUulpvAQIcifj2fexBQWdXZdfd6747rdHfBpFZhwUj_uscFquaM.iIXB3A4ohlXYPqz1gHE6FDtjpbbzfMqLx1bTrpHe85nT2DaqXUkHTMMeO3GALMKC62XYJ83T7dbSgK-hoIcbBw&_sg%5B1%5D=PcaFT6YOiINt4PGrIc2Ml1wseMJPY6Uc2dw_yGmDiAEUQCTSZ5zrBXxXwmyLHivUVz0kK0Q.yGOZDpW7imkG0G-guR5vRpWpgeRacm3AwXOnyEsbfZVMpwcX_kaL73XCI2cgm605O7GB7dedjBiqhNFHqDU8bwhttps://www.researchgate.net/profile/Tommaso-Venturini-2?_sg%5B0%5D=fE-MjRPEupqNatnumhF6dUulpvAQIcifj2fexBQWdXZdfd6747rdHfBpFZhwUj_uscFquaM.iIXB3A4ohlXYPqz1gHE6FDtjpbbzfMqLx1bTrpHe85nT2DaqXUkHTMMeO3GALMKC62XYJ83T7dbSgK-hoIcbBw&_sg%5B1%5D=PcaFT6YOiINt4PGrIc2Ml1wseMJPY6Uc2dw_yGmDiAEUQCTSZ5zrBXxXwmyLHivUVz0kK0Q.yGOZDpW7imkG0G-guR5vRpWpgeRacm3AwXOnyEsbfZVMpwcX_kaL73XCI2cgm605O7GB7dedjBiqhNFHqDU8bwhttps://www.researchgate.net/scientific-contributions/Sebastien-Heymann-2047900074?_sg%5B0%5D=fE-MjRPEupqNatnumhF6dUulpvAQIcifj2fexBQWdXZdfd6747rdHfBpFZhwUj_uscFquaM.iIXB3A4ohlXYPqz1gHE6FDtjpbbzfMqLx1bTrpHe85nT2DaqXUkHTMMeO3GALMKC62XYJ83T7dbSgK-hoIcbBw&_sg%5B1%5D=PcaFT6YOiINt4PGrIc2Ml1wseMJPY6Uc2dw_yGmDiAEUQCTSZ5zrBXxXwmyLHivUVz0kK0Q.yGOZDpW7imkG0G-guR5vRpWpgeRacm3AwXOnyEsbfZVMpwcX_kaL73XCI2cgm605O7GB7dedjBiqhNFHqDU8bwhttps://www.researchgate.net/profile/Mathieu-Bastian?_sg%5B0%5D=fE-MjRPEupqNatnumhF6dUulpvAQIcifj2fexBQWdXZdfd6747rdHfBpFZhwUj_uscFquaM.iIXB3A4ohlXYPqz1gHE6FDtjpbbzfMqLx1bTrpHe85nT2DaqXUkHTMMeO3GALMKC62XYJ83T7dbSgK-hoIcbBw&_sg%5B1%5D=PcaFT6YOiINt4PGrIc2Ml1wseMJPY6Uc2dw_yGmDiAEUQCTSZ5zrBXxXwmyLHivUVz0kK0Q.yGOZDpW7imkG0G-guR5vRpWpgeRacm3AwXOnyEsbfZVMpwcX_kaL73XCI2cgm605O7GB7dedjBiqhNFHqDU8bw,dataset here: https://github.com/medialab/benchmarkForceAtlas2,,,,"Pretty good example of a proper evaluation

Graphs in benchmark set had 5 to 23133 nodes",https://www.researchgate.net/publication/262977655_ForceAtlas2_a_Continuous_Graph_Layout_Algorithm_for_Handy_Network_Visualization_Designed_for_the_Gephi_Software,2014,algorithm,68,PLOS one,,68
"ContexTour: Contextual Contour Visual Analysis on Dynamic Multi-
Relational Clustering",No,No,,"dynamic, tripartite","Yu-Ru Lin1 Jimeng Sun2 Nan Cao2,3 Shixia Liu",their own,custom,,,,http://shixialiu.com/publications/contextour/paper.pdf,2010,algorithm,not specified,SIAM 2010,,
Multi-Level Area Balancing of Clustered Graphs,No,No,https://doi.org/10.1109/TVCG.2020.3038154,"clusters, groups, labeled nodes, nodes with categorical feature","Hsiang-Yun Wu , Martin Nollenburg , and Ivan Viola",,,,,,http://yun-vis.net/projects/bionet/tvcg2020.pdf,2020,algorithm,,TVCG,,
https://ieeexplore.ieee.org/abstract/document/9231271/,No,No,1https://doi.org/10.1109/tvcg.2020.3030442,"Layered graphs, dynamic, many layers, temporal event sequence",Di Bartolomeo et al.,chess games,Chess Games,,,,https://par.nsf.gov/servlets/purl/10200661,2020,algorithm,10,TVCG,,10
Design Considerations for Optimizing Storyline Visualizations,No,No,,"Layered graphs, dynamic, temporal event sequence","Yuzuru Tanahashi, Kwan-Liu Ma",movie plots (lost),movie plots,,,doesn’t really have a quantitative evaluation,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6327274,2012,algorithm,4,TVCG 2012,,4
StoryFlow: Tracking the Evolution of Stories,No,No,,"Layered graphs, dynamic, temporal event sequence","https://www.semanticscholar.org/author/Shixia-Liu/48641970, https://www.semanticscholar.org/author/Yingcai-Wu/121962020",movie plots (lost),movie plots,,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6634164,2013,algorithm,4,TVCG 2013,,4
An Efficient Framework for Generating Storyline Visualizations from Streaming Data,No,No,,"Layered graphs, dynamic, temporal event sequence","Yuzuru Tanahashi, Chien-Hsin Hsueh, and Kwan-Liu Ma","movie plots (lost), other datasets (all lost excluding https://www.cs.cmu.edu/~enron/) ",movie plots,,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7015617,2015,algorithm,8?,TVCG 2015,,8
Dynamic Drawing of Clustered Graphs,No,No,,"clusters, dynamic, groups","Frishman, Tal",,,,,"Simple but pretty good, decent computational evaluation

",https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1382908,2004,,,VIS 2004,,
"Edge Compression Techniques for
Visualization of Dense Directed Graphs",No,No,,"Compound graphs, Layered graphs, labeled nodes, many layers","Tim Dwyer, Nathalie Henry Riche, Kim Marriott, Christopher Mears","no experiment ",none,,,This paper studies if the number of crossing really influences accuracy - interesting,https://www.microsoft.com/en-us/research/wp-content/uploads/2016/12/edgecompression_infovis2013.pdf,2013,algorithm,,VIS 2013,,
Automatic Polygon Layout for Primal-Dual Visualization of Hypergraphs,No,No,http://doi.org/10.1109/tvcg.2021.3114759,"clusters, groups, labeled nodes",Qu et al.,"Small Pathway, Recipe, Met-
abolic Pathway, and KEGG Overview Pathway (look inside for details)",,,,,http://yun-vis.net/projects/bionet/tvcg2020.pdf,2021,algorithm,4,VIS 2021,,4
Edge-Path Bundling: A Less Ambiguous Edge Bundling Approach,No,No,https://doi.ieeecomputersociety.org/10.1109/TVCG.2021.3114795,,Wallinger et al.,"custom-made, US airlines, migrations, air traffic, amazon","US airlines, air traffic, amazon, custom, migrations",,,"Has data available here: https://github.com/mwallinger-tu/edge-path-bundling/tree/master/data

Also note: this paper uses larger graphs compared to the rest. Still under 1k nodes.",https://arxiv.org/pdf/2108.05467.pdf,2021,algorithm,9,VIS 2021,,9
Stratisfimal Layout: A modular optimization model for laying out layered node-link network visualizations,No,No,https://doi.org/10.1109/TVCG.2021.3114756,"Compound graphs, Layered graphs, groups, many layers",Di Bartolomeo et al.,"Rome-Lib - layered and with added groups ",Rome-Lib,,,,https://osf.io/qdyt9,2021,algorithm,468 (graphs with too many nodes were left out from Rome-Lib),VIS 2021,ILP,468
Experiments on Exact Crossing Minimization Using Column Generation,No,No,,,"Markus Chimani, Carsten Gutwenger, and Petra Mutzel",Rome-Lib,Rome-Lib,,,,https://link.springer.com/chapter/10.1007/11764298_28,2006,,,WEA 2006,ILP,
A branch-and-cut approach to the crossing number problem,No,No,https://doi.org/10.1016/j.disopt.2007.05.006,,"Christoph Buchheim, Markus Chimani, Dietmar Ebner, Carsten Gutwenger, Michael Jünger, Gunnar W Klau, Petra Mutzel, René Weiskircher",Rome-Lib,Rome-Lib,,,"Uses ILP. Chapter 5 contains their experiment, and it has some mention of the challenges of running computational experiments (e.g. when to stop, timeout) - contains a comparison against a heuristic.",https://www.sciencedirect.com/science/article/pii/S1572528607000497,2006,,11389,WEA 2006,ILP,11389
Layer-Free Upward Crossing Minimization,No,No,,Layered graphs,"Markus Chimani, Carsten Gutwenger, Petra Mutzel, and Hoi-Ming Wong","Rome-Lib, North DAGs","North Lib, Rome-Lib",,,used in dagre. experiment sorts by edges with North DAGs and by nodes with Rome-Lib,https://www.researchgate.net/publication/221131619_Layer-Free_Upward_Crossing_Minimization,2008,,,WEA 2008,,
Visualizing Group Structures in Graphs: A Survey,No,No,,groups,"Corinna Vehlow, Fabian Beck and Daniel Weiskopf",no experiment,none,,,focuses on design space. still useful,https://onlinelibrary.wiley.com/doi/epdf/10.1111/cgf.12872?saml_referrer,2017,survey,,,,
Using Graph Layout to Visualize Train Interconnection Data,No,No,,,"Ulrik Brandes, Dorothea Wagner",train data,train data,,,this is a good idea for the source for a natural dataset: train stations and their connections,https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.48.6703&rep=rep1&type=pdf,,,,,,
