group,character,timestep_start,timestep_stop
GASTech,Cazar_Gustav,27,30
Dining,Cazar_Gustav,31,32
GASTech,Cazar_Gustav,33,35
Unknown,Cazar_Gustav,36,37
Dining,Cazar_Gustav,38,39
Unknown,Cazar_Gustav,40,50
GASTech,Cazar_Gustav,51,55
Dining,Cazar_Gustav,56,56
GASTech,Cazar_Gustav,57,59
Unknown,Cazar_Gustav,60,60
Dining,Cazar_Gustav,61,62
Unknown,Cazar_Gustav,63,73
Dining,Cazar_Gustav,74,74
GASTech,Cazar_Gustav,75,78
Dining,Cazar_Gustav,79,80
GASTech,Cazar_Gustav,81,83
Unknown,Cazar_Gustav,84,85
Shopping,Cazar_Gustav,86,86
Unknown,Cazar_Gustav,87,97
Dining,Cazar_Gustav,98,98
GASTech,Cazar_Gustav,99,102
Dining,Cazar_Gustav,103,104
GASTech,Cazar_Gustav,105,108
Unknown,Cazar_Gustav,109,109
Home,Cazar_Gustav,110,113
Unknown,Cazar_Gustav,114,127
Coffee,Cazar_Gustav,128,128
Unknown,Cazar_Gustav,129,170
GASTech,Cazar_Gustav,171,174
Dining,Cazar_Gustav,175,176
GASTech,Cazar_Gustav,177,180
Unknown,Cazar_Gustav,181,181
Shopping,Cazar_Gustav,182,183
Unknown,Cazar_Gustav,184,193
Dining,Cazar_Gustav,194,194
GASTech,Cazar_Gustav,195,198
Dining,Cazar_Gustav,199,200
GASTech,Cazar_Gustav,201,203
Unknown,Cazar_Gustav,204,218
GASTech,Cazar_Gustav,219,222
Dining,Cazar_Gustav,223,224
GASTech,Cazar_Gustav,225,227
Unknown,Cazar_Gustav,228,228
Dining,Cazar_Gustav,229,231
Unknown,Cazar_Gustav,232,242
GASTech,Cazar_Gustav,243,246
Dining,Cazar_Gustav,247,248
GASTech,Cazar_Gustav,249,251
Unknown,Cazar_Gustav,252,253
Dining,Cazar_Gustav,254,254
Unknown,Cazar_Gustav,255,266
GASTech,Cazar_Gustav,267,270
Coffee,Cazar_Gustav,271,272
GASTech,Cazar_Gustav,273,275
Unknown,Cazar_Gustav,276,276
Shopping,Cazar_Gustav,277,278
Unknown,Cazar_Gustav,279,295
Dining,Cazar_Gustav,296,296
Unknown,Cazar_Gustav,297,324
Dining,Cazar_Gustav,325,327
Coffee,Cocinaro_Hideki,2,2
GASTech,Cocinaro_Hideki,3,7
Dining,Cocinaro_Hideki,8,8
GASTech,Cocinaro_Hideki,9,11
Home,Cocinaro_Hideki,12,13
Dining,Cocinaro_Hideki,14,15
Home,Cocinaro_Hideki,16,25
Coffee,Cocinaro_Hideki,26,26
GASTech,Cocinaro_Hideki,27,30
Dining,Cocinaro_Hideki,31,32
GASTech,Cocinaro_Hideki,33,35
Home,Cocinaro_Hideki,36,49
Coffee,Cocinaro_Hideki,50,50
GASTech,Cocinaro_Hideki,51,54
Coffee,Cocinaro_Hideki,55,56
GASTech,Cocinaro_Hideki,57,60
Home,Cocinaro_Hideki,61,61
Shopping,Cocinaro_Hideki,62,63
Home,Cocinaro_Hideki,64,73
Coffee,Cocinaro_Hideki,74,74
GASTech,Cocinaro_Hideki,75,79
Dining,Cocinaro_Hideki,80,80
GASTech,Cocinaro_Hideki,81,83
Home,Cocinaro_Hideki,84,98
GASTech,Cocinaro_Hideki,99,102
Coffee,Cocinaro_Hideki,103,104
GASTech,Cocinaro_Hideki,105,107
Home,Cocinaro_Hideki,108,109
Dining,Cocinaro_Hideki,110,110
Home,Cocinaro_Hideki,111,127
Dining,Cocinaro_Hideki,128,128
Home,Cocinaro_Hideki,129,133
Dining,Cocinaro_Hideki,134,135
Home,Cocinaro_Hideki,136,156
Dining,Cocinaro_Hideki,157,157
Home,Cocinaro_Hideki,158,170
GASTech,Cocinaro_Hideki,171,174
Dining,Cocinaro_Hideki,175,176
GASTech,Cocinaro_Hideki,177,180
Home,Cocinaro_Hideki,181,181
Dining,Cocinaro_Hideki,182,183
Home,Cocinaro_Hideki,184,193
Coffee,Cocinaro_Hideki,194,194
GASTech,Cocinaro_Hideki,195,198
Dining,Cocinaro_Hideki,199,200
GASTech,Cocinaro_Hideki,201,203
Home,Cocinaro_Hideki,204,205
Dining,Cocinaro_Hideki,206,206
Home,Cocinaro_Hideki,207,217
Coffee,Cocinaro_Hideki,218,218
GASTech,Cocinaro_Hideki,219,222
Dining,Cocinaro_Hideki,223,224
GASTech,Cocinaro_Hideki,225,228
Home,Cocinaro_Hideki,229,229
Shopping,Cocinaro_Hideki,230,230
Home,Cocinaro_Hideki,231,242
GASTech,Cocinaro_Hideki,243,246
Dining,Cocinaro_Hideki,247,248
GASTech,Cocinaro_Hideki,249,252
Home,Cocinaro_Hideki,253,253
Dining,Cocinaro_Hideki,254,255
Home,Cocinaro_Hideki,256,266
GASTech,Cocinaro_Hideki,267,271
Dining,Cocinaro_Hideki,272,272
GASTech,Cocinaro_Hideki,273,276
Home,Cocinaro_Hideki,277,277
Shopping,Cocinaro_Hideki,278,279
Home,Cocinaro_Hideki,280,324
Dining,Cocinaro_Hideki,325,327
Coffee,Ferro_Inga,2,2
GASTech,Ferro_Inga,3,6
Dining,Ferro_Inga,7,8
GASTech,Ferro_Inga,9,12
Home,Ferro_Inga,13,13
Dining,Ferro_Inga,14,14
Home,Ferro_Inga,15,26
GASTech,Ferro_Inga,27,30
Dining,Ferro_Inga,31,32
GASTech,Ferro_Inga,33,36
Home,Ferro_Inga,37,37
Dining,Ferro_Inga,38,38
Home,Ferro_Inga,39,49
Coffee,Ferro_Inga,50,50
GASTech,Ferro_Inga,51,54
Dining,Ferro_Inga,55,56
GASTech,Ferro_Inga,57,59
Home,Ferro_Inga,60,61
Dining,Ferro_Inga,62,63
Home,Ferro_Inga,64,74
GASTech,Ferro_Inga,75,78
Dining,Ferro_Inga,79,80
GASTech,Ferro_Inga,81,83
Home,Ferro_Inga,84,98
GASTech,Ferro_Inga,99,101
Unknown,Ferro_Inga,102,102
Dining,Ferro_Inga,103,104
GASTech,Ferro_Inga,105,108
Home,Ferro_Inga,109,109
Shopping,Ferro_Inga,110,110
Home,Ferro_Inga,111,151
Dining,Ferro_Inga,152,152
Shopping,Ferro_Inga,153,154
Home,Ferro_Inga,155,170
GASTech,Ferro_Inga,171,174
Unknown,Ferro_Inga,175,175
Dining,Ferro_Inga,176,176
GASTech,Ferro_Inga,177,180
Home,Ferro_Inga,181,181
Dining,Ferro_Inga,182,182
Home,Ferro_Inga,183,194
GASTech,Ferro_Inga,195,198
Coffee,Ferro_Inga,199,200
GASTech,Ferro_Inga,201,203
Home,Ferro_Inga,204,205
Dining,Ferro_Inga,206,207
Home,Ferro_Inga,208,217
Coffee,Ferro_Inga,218,218
GASTech,Ferro_Inga,219,222
Dining,Ferro_Inga,223,224
GASTech,Ferro_Inga,225,228
Home,Ferro_Inga,229,229
Shopping,Ferro_Inga,230,230
Home,Ferro_Inga,231,242
GASTech,Ferro_Inga,243,246
Dining,Ferro_Inga,247,248
GASTech,Ferro_Inga,249,252
Home,Ferro_Inga,253,253
Shopping,Ferro_Inga,254,255
Home,Ferro_Inga,256,266
GASTech,Ferro_Inga,267,269
Unknown,Ferro_Inga,270,270
Dining,Ferro_Inga,271,272
GASTech,Ferro_Inga,273,276
Home,Ferro_Inga,277,277
Dining,Ferro_Inga,278,278
Home,Ferro_Inga,279,293
Unknown,Ferro_Inga,294,295
Coffee,Ferro_Inga,296,296
Home,Ferro_Inga,297,301
Coffee,Ferro_Inga,302,327
Coffee,Dedos_Lidelse,2,2
GASTech,Dedos_Lidelse,3,6
Coffee,Dedos_Lidelse,7,8
GASTech,Dedos_Lidelse,9,12
Home,Dedos_Lidelse,13,13
Coffee,Dedos_Lidelse,14,14
Home,Dedos_Lidelse,15,25
Coffee,Dedos_Lidelse,26,26
GASTech,Dedos_Lidelse,27,30
Dining,Dedos_Lidelse,31,32
GASTech,Dedos_Lidelse,33,36
Home,Dedos_Lidelse,37,37
Coffee,Dedos_Lidelse,38,38
Home,Dedos_Lidelse,39,49
Coffee,Dedos_Lidelse,50,50
GASTech,Dedos_Lidelse,51,54
Dining,Dedos_Lidelse,55,56
GASTech,Dedos_Lidelse,57,60
Home,Dedos_Lidelse,61,62
Coffee,Dedos_Lidelse,63,63
Home,Dedos_Lidelse,64,73
Coffee,Dedos_Lidelse,74,74
GASTech,Dedos_Lidelse,75,78
Dining,Dedos_Lidelse,79,80
GASTech,Dedos_Lidelse,81,84
Home,Dedos_Lidelse,85,97
Coffee,Dedos_Lidelse,98,98
GASTech,Dedos_Lidelse,99,102
Dining,Dedos_Lidelse,103,104
GASTech,Dedos_Lidelse,105,108
Home,Dedos_Lidelse,109,133
Coffee,Dedos_Lidelse,134,135
Home,Dedos_Lidelse,136,151
Dining,Dedos_Lidelse,152,152
Home,Dedos_Lidelse,153,156
Coffee,Dedos_Lidelse,157,159
Home,Dedos_Lidelse,160,169
Dining,Dedos_Lidelse,170,170
GASTech,Dedos_Lidelse,171,174
Coffee,Dedos_Lidelse,175,176
GASTech,Dedos_Lidelse,177,180
Home,Dedos_Lidelse,181,181
Coffee,Dedos_Lidelse,182,183
Home,Dedos_Lidelse,184,194
GASTech,Dedos_Lidelse,195,198
Dining,Dedos_Lidelse,199,200
GASTech,Dedos_Lidelse,201,204
Home,Dedos_Lidelse,205,205
Coffee,Dedos_Lidelse,206,207
Home,Dedos_Lidelse,208,218
GASTech,Dedos_Lidelse,219,222
Dining,Dedos_Lidelse,223,224
GASTech,Dedos_Lidelse,225,228
Home,Dedos_Lidelse,229,229
Shopping,Dedos_Lidelse,230,231
Home,Dedos_Lidelse,232,241
Coffee,Dedos_Lidelse,242,242
GASTech,Dedos_Lidelse,243,246
Dining,Dedos_Lidelse,247,248
GASTech,Dedos_Lidelse,249,252
Home,Dedos_Lidelse,253,253
Shopping,Dedos_Lidelse,254,254
Home,Dedos_Lidelse,255,265
Coffee,Dedos_Lidelse,266,266
GASTech,Dedos_Lidelse,267,270
Dining,Dedos_Lidelse,271,272
GASTech,Dedos_Lidelse,273,276
Home,Dedos_Lidelse,277,295
Dining,Dedos_Lidelse,296,296
Shopping,Dedos_Lidelse,297,298
Home,Dedos_Lidelse,299,300
Coffee,Dedos_Lidelse,301,302
Home,Dedos_Lidelse,303,324
Coffee,Dedos_Lidelse,325,327
Coffee,Bodrogi_Loreto,2,2
GASTech,Bodrogi_Loreto,3,6
Coffee,Bodrogi_Loreto,7,8
GASTech,Bodrogi_Loreto,9,11
Home,Bodrogi_Loreto,12,25
Coffee,Bodrogi_Loreto,26,26
GASTech,Bodrogi_Loreto,27,30
Dining,Bodrogi_Loreto,31,32
GASTech,Bodrogi_Loreto,33,35
Home,Bodrogi_Loreto,36,36
Dining,Bodrogi_Loreto,37,38
Home,Bodrogi_Loreto,39,49
Coffee,Bodrogi_Loreto,50,50
GASTech,Bodrogi_Loreto,51,53
Unknown,Bodrogi_Loreto,54,54
Gas,Bodrogi_Loreto,55,55
Dining,Bodrogi_Loreto,56,56
GASTech,Bodrogi_Loreto,57,60
Home,Bodrogi_Loreto,61,61
Shopping,Bodrogi_Loreto,62,62
Home,Bodrogi_Loreto,63,73
Coffee,Bodrogi_Loreto,74,74
GASTech,Bodrogi_Loreto,75,78
Coffee,Bodrogi_Loreto,79,80
GASTech,Bodrogi_Loreto,81,84
Home,Bodrogi_Loreto,85,85
Shopping,Bodrogi_Loreto,86,87
Home,Bodrogi_Loreto,88,97
Coffee,Bodrogi_Loreto,98,98
GASTech,Bodrogi_Loreto,99,102
Dining,Bodrogi_Loreto,103,104
GASTech,Bodrogi_Loreto,105,107
Home,Bodrogi_Loreto,108,109
Dining,Bodrogi_Loreto,110,111
Home,Bodrogi_Loreto,112,125
Unknown,Bodrogi_Loreto,126,127
Dining,Bodrogi_Loreto,128,128
Home,Bodrogi_Loreto,129,156
Dining,Bodrogi_Loreto,157,158
Home,Bodrogi_Loreto,159,170
GASTech,Bodrogi_Loreto,171,174
Dining,Bodrogi_Loreto,175,176
GASTech,Bodrogi_Loreto,177,179
Home,Bodrogi_Loreto,180,181
Shopping,Bodrogi_Loreto,182,182
Home,Bodrogi_Loreto,183,194
GASTech,Bodrogi_Loreto,195,197
Unknown,Bodrogi_Loreto,198,198
Dining,Bodrogi_Loreto,199,200
GASTech,Bodrogi_Loreto,201,204
Home,Bodrogi_Loreto,205,205
Dining,Bodrogi_Loreto,206,206
Home,Bodrogi_Loreto,207,218
GASTech,Bodrogi_Loreto,219,221
Unknown,Bodrogi_Loreto,222,222
Dining,Bodrogi_Loreto,223,224
GASTech,Bodrogi_Loreto,225,227
Home,Bodrogi_Loreto,228,229
Dining,Bodrogi_Loreto,230,231
Home,Bodrogi_Loreto,232,242
GASTech,Bodrogi_Loreto,243,246
Dining,Bodrogi_Loreto,247,248
GASTech,Bodrogi_Loreto,249,252
Home,Bodrogi_Loreto,253,253
Dining,Bodrogi_Loreto,254,254
Home,Bodrogi_Loreto,255,266
GASTech,Bodrogi_Loreto,267,269
Unknown,Bodrogi_Loreto,270,271
Dining,Bodrogi_Loreto,272,272
GASTech,Bodrogi_Loreto,273,275
Home,Bodrogi_Loreto,276,277
Dining,Bodrogi_Loreto,278,279
Home,Bodrogi_Loreto,280,295
Recreation,Bodrogi_Loreto,296,297
Home,Bodrogi_Loreto,298,301
Coffee,Bodrogi_Loreto,302,302
Home,Bodrogi_Loreto,303,324
Dining,Bodrogi_Loreto,325,327
Coffee,Vann_Isia,2,2
GASTech,Vann_Isia,3,6
Dining,Vann_Isia,7,8
GASTech,Vann_Isia,9,12
Home,Vann_Isia,13,14
Shopping,Vann_Isia,15,15
Home,Vann_Isia,16,26
GASTech,Vann_Isia,27,30
Dining,Vann_Isia,31,32
GASTech,Vann_Isia,33,36
Home,Vann_Isia,37,37
Dining,Vann_Isia,38,38
Home,Vann_Isia,39,49
Coffee,Vann_Isia,50,50
GASTech,Vann_Isia,51,54
Dining,Vann_Isia,55,56
GASTech,Vann_Isia,57,59
Home,Vann_Isia,60,60
Dining,Vann_Isia,61,62
Home,Vann_Isia,63,74
GASTech,Vann_Isia,75,78
Dining,Vann_Isia,79,79
GASTech,Vann_Isia,80,84
Home,Vann_Isia,85,85
Dining,Vann_Isia,86,86
Home,Vann_Isia,87,97
Coffee,Vann_Isia,98,98
GASTech,Vann_Isia,99,102
Coffee,Vann_Isia,103,104
GASTech,Vann_Isia,105,108
Home,Vann_Isia,109,110
Shopping,Vann_Isia,111,111
Home,Vann_Isia,112,132
Dining,Vann_Isia,133,134
Home,Vann_Isia,135,157
Dining,Vann_Isia,158,158
Home,Vann_Isia,159,170
GASTech,Vann_Isia,171,174
Dining,Vann_Isia,175,176
GASTech,Vann_Isia,177,180
Home,Vann_Isia,181,181
Dining,Vann_Isia,182,182
Home,Vann_Isia,183,193
Coffee,Vann_Isia,194,194
GASTech,Vann_Isia,195,198
Coffee,Vann_Isia,199,200
GASTech,Vann_Isia,201,204
Home,Vann_Isia,205,206
Dining,Vann_Isia,207,208
Home,Vann_Isia,209,217
Coffee,Vann_Isia,218,218
GASTech,Vann_Isia,219,222
Dining,Vann_Isia,223,224
GASTech,Vann_Isia,225,228
Home,Vann_Isia,229,229
Dining,Vann_Isia,230,230
Home,Vann_Isia,231,241
Coffee,Vann_Isia,242,242
GASTech,Vann_Isia,243,246
Dining,Vann_Isia,247,248
GASTech,Vann_Isia,249,251
Home,Vann_Isia,252,253
Shopping,Vann_Isia,254,255
Home,Vann_Isia,256,266
GASTech,Vann_Isia,267,270
Dining,Vann_Isia,271,272
GASTech,Vann_Isia,273,276
Home,Vann_Isia,277,277
Shopping,Vann_Isia,278,279
Home,Vann_Isia,280,301
Coffee,Vann_Isia,302,302
Home,Vann_Isia,303,318
Coffee,Vann_Isia,319,319
Shopping,Vann_Isia,320,322
Home,Vann_Isia,323,324
Dining,Vann_Isia,325,326
Home,Vann_Isia,327,327
Coffee,Flecha_Sven,2,2
GASTech,Flecha_Sven,3,6
Dining,Flecha_Sven,7,8
GASTech,Flecha_Sven,9,11
Home,Flecha_Sven,12,12
Dining,Flecha_Sven,13,13
Home,Flecha_Sven,14,25
Coffee,Flecha_Sven,26,26
GASTech,Flecha_Sven,27,31
Dining,Flecha_Sven,32,32
GASTech,Flecha_Sven,33,36
Home,Flecha_Sven,37,37
Dining,Flecha_Sven,38,38
Home,Flecha_Sven,39,50
GASTech,Flecha_Sven,51,54
Dining,Flecha_Sven,55,56
GASTech,Flecha_Sven,57,60
Home,Flecha_Sven,61,61
Dining,Flecha_Sven,62,62
Home,Flecha_Sven,63,74
GASTech,Flecha_Sven,75,78
Dining,Flecha_Sven,79,80
GASTech,Flecha_Sven,81,84
Home,Flecha_Sven,85,85
Dining,Flecha_Sven,86,87
Home,Flecha_Sven,88,98
GASTech,Flecha_Sven,99,102
Dining,Flecha_Sven,103,104
GASTech,Flecha_Sven,105,107
Home,Flecha_Sven,108,109
Shopping,Flecha_Sven,110,110
Home,Flecha_Sven,111,133
Dining,Flecha_Sven,134,134
Home,Flecha_Sven,135,169
Coffee,Flecha_Sven,170,170
GASTech,Flecha_Sven,171,174
Dining,Flecha_Sven,175,176
GASTech,Flecha_Sven,177,180
Home,Flecha_Sven,181,181
Dining,Flecha_Sven,182,182
Home,Flecha_Sven,183,194
GASTech,Flecha_Sven,195,198
Dining,Flecha_Sven,199,200
GASTech,Flecha_Sven,201,204
Home,Flecha_Sven,205,205
Dining,Flecha_Sven,206,206
Home,Flecha_Sven,207,217
Coffee,Flecha_Sven,218,218
GASTech,Flecha_Sven,219,222
Dining,Flecha_Sven,223,224
GASTech,Flecha_Sven,225,227
Home,Flecha_Sven,228,229
Dining,Flecha_Sven,230,231
Home,Flecha_Sven,232,242
GASTech,Flecha_Sven,243,246
Dining,Flecha_Sven,247,248
GASTech,Flecha_Sven,249,251
Home,Flecha_Sven,252,252
Dining,Flecha_Sven,253,253
Home,Flecha_Sven,254,265
Coffee,Flecha_Sven,266,266
GASTech,Flecha_Sven,267,276
Home,Flecha_Sven,277,294
Dining,Flecha_Sven,295,296
Recreation,Flecha_Sven,297,300
Home,Flecha_Sven,301,319
Dining,Flecha_Sven,320,320
Home,Flecha_Sven,321,324
Dining,Flecha_Sven,325,327
Coffee,Frente_Birgitta,2,2
GASTech,Frente_Birgitta,3,7
Coffee,Frente_Birgitta,8,8
GASTech,Frente_Birgitta,9,12
Home,Frente_Birgitta,13,13
Coffee,Frente_Birgitta,14,15
Home,Frente_Birgitta,16,26
GASTech,Frente_Birgitta,27,30
Dining,Frente_Birgitta,31,32
GASTech,Frente_Birgitta,33,36
Home,Frente_Birgitta,37,37
Coffee,Frente_Birgitta,38,39
Home,Frente_Birgitta,40,49
Coffee,Frente_Birgitta,50,50
GASTech,Frente_Birgitta,51,54
Dining,Frente_Birgitta,55,56
GASTech,Frente_Birgitta,57,59
Home,Frente_Birgitta,60,74
GASTech,Frente_Birgitta,75,78
Dining,Frente_Birgitta,79,80
GASTech,Frente_Birgitta,81,84
Home,Frente_Birgitta,85,85
Coffee,Frente_Birgitta,86,87
Home,Frente_Birgitta,88,98
GASTech,Frente_Birgitta,99,102
Dining,Frente_Birgitta,103,104
GASTech,Frente_Birgitta,105,107
Home,Frente_Birgitta,108,127
Dining,Frente_Birgitta,128,128
Shopping,Frente_Birgitta,129,129
Home,Frente_Birgitta,130,169
Unknown,Frente_Birgitta,170,170
GASTech,Frente_Birgitta,171,174
Dining,Frente_Birgitta,175,176
GASTech,Frente_Birgitta,177,180
Home,Frente_Birgitta,181,194
GASTech,Frente_Birgitta,195,198
Dining,Frente_Birgitta,199,200
GASTech,Frente_Birgitta,201,204
Home,Frente_Birgitta,205,206
Coffee,Frente_Birgitta,207,207
Home,Frente_Birgitta,208,217
Coffee,Frente_Birgitta,218,218
GASTech,Frente_Birgitta,219,222
Dining,Frente_Birgitta,223,224
GASTech,Frente_Birgitta,225,228
Home,Frente_Birgitta,229,229
Coffee,Frente_Birgitta,230,230
Home,Frente_Birgitta,231,241
Coffee,Frente_Birgitta,242,242
GASTech,Frente_Birgitta,243,247
Dining,Frente_Birgitta,248,248
GASTech,Frente_Birgitta,249,251
Home,Frente_Birgitta,252,253
Coffee,Frente_Birgitta,254,255
Home,Frente_Birgitta,256,265
Coffee,Frente_Birgitta,266,266
GASTech,Frente_Birgitta,267,270
Dining,Frente_Birgitta,271,272
GASTech,Frente_Birgitta,273,276
Home,Frente_Birgitta,277,295
Dining,Frente_Birgitta,296,296
Home,Frente_Birgitta,297,324
Coffee,Frente_Birgitta,325,327
Dining,Frente_Vira,1,2
GASTech,Frente_Vira,3,6
Dining,Frente_Vira,7,8
GASTech,Frente_Vira,9,12
Home,Frente_Vira,13,13
Dining,Frente_Vira,14,15
Home,Frente_Vira,16,25
Dining,Frente_Vira,26,26
GASTech,Frente_Vira,27,30
Dining,Frente_Vira,31,32
GASTech,Frente_Vira,33,36
Home,Frente_Vira,37,37
Shopping,Frente_Vira,38,38
Home,Frente_Vira,39,49
Dining,Frente_Vira,50,50
GASTech,Frente_Vira,51,54
Coffee,Frente_Vira,55,56
GASTech,Frente_Vira,57,60
Home,Frente_Vira,61,61
Dining,Frente_Vira,62,62
Home,Frente_Vira,63,73
Dining,Frente_Vira,74,74
GASTech,Frente_Vira,75,78
Dining,Frente_Vira,79,80
GASTech,Frente_Vira,81,84
Home,Frente_Vira,85,85
Dining,Frente_Vira,86,87
Home,Frente_Vira,88,98
GASTech,Frente_Vira,99,102
Coffee,Frente_Vira,103,104
GASTech,Frente_Vira,105,108
Home,Frente_Vira,109,127
Coffee,Frente_Vira,128,128
Home,Frente_Vira,129,156
Dining,Frente_Vira,157,158
Home,Frente_Vira,159,169
Dining,Frente_Vira,170,170
GASTech,Frente_Vira,171,174
Dining,Frente_Vira,175,176
GASTech,Frente_Vira,177,180
Home,Frente_Vira,181,193
Dining,Frente_Vira,194,194
GASTech,Frente_Vira,195,198
Coffee,Frente_Vira,199,200
GASTech,Frente_Vira,201,204
Home,Frente_Vira,205,206
Dining,Frente_Vira,207,207
Home,Frente_Vira,208,217
Dining,Frente_Vira,218,218
GASTech,Frente_Vira,219,222
Dining,Frente_Vira,223,224
GASTech,Frente_Vira,225,228
Home,Frente_Vira,229,230
Dining,Frente_Vira,231,231
Home,Frente_Vira,232,241
Dining,Frente_Vira,242,242
GASTech,Frente_Vira,243,246
Dining,Frente_Vira,247,248
GASTech,Frente_Vira,249,252
Home,Frente_Vira,253,253
Dining,Frente_Vira,254,255
Home,Frente_Vira,256,266
GASTech,Frente_Vira,267,270
Dining,Frente_Vira,271,272
GASTech,Frente_Vira,273,276
Home,Frente_Vira,277,295
Shopping,Frente_Vira,296,298
Home,Frente_Vira,299,300
Dining,Frente_Vira,301,302
Home,Frente_Vira,303,319
Shopping,Frente_Vira,320,321
Home,Frente_Vira,322,325
Dining,Frente_Vira,326,327
Coffee,Fusil_Stenig,2,2
GASTech,Fusil_Stenig,3,6
Dining,Fusil_Stenig,7,8
GASTech,Fusil_Stenig,9,12
Home,Fusil_Stenig,13,13
Dining,Fusil_Stenig,14,14
Home,Fusil_Stenig,15,25
Coffee,Fusil_Stenig,26,26
GASTech,Fusil_Stenig,27,30
Dining,Fusil_Stenig,31,32
GASTech,Fusil_Stenig,33,36
Home,Fusil_Stenig,37,49
Coffee,Fusil_Stenig,50,50
GASTech,Fusil_Stenig,51,54
Dining,Fusil_Stenig,55,56
GASTech,Fusil_Stenig,57,59
Home,Fusil_Stenig,60,73
Coffee,Fusil_Stenig,74,74
GASTech,Fusil_Stenig,75,78
Dining,Fusil_Stenig,79,79
GASTech,Fusil_Stenig,80,84
Home,Fusil_Stenig,85,85
Dining,Fusil_Stenig,86,86
Home,Fusil_Stenig,87,97
Coffee,Fusil_Stenig,98,98
GASTech,Fusil_Stenig,99,102
Dining,Fusil_Stenig,103,104
GASTech,Fusil_Stenig,105,107
Home,Fusil_Stenig,108,109
Dining,Fusil_Stenig,110,110
Home,Fusil_Stenig,111,133
Dining,Fusil_Stenig,134,134
Home,Fusil_Stenig,135,157
Shopping,Fusil_Stenig,158,158
Home,Fusil_Stenig,159,169
Coffee,Fusil_Stenig,170,170
GASTech,Fusil_Stenig,171,174
Dining,Fusil_Stenig,175,176
GASTech,Fusil_Stenig,177,180
Home,Fusil_Stenig,181,193
Coffee,Fusil_Stenig,194,194
GASTech,Fusil_Stenig,195,198
Dining,Fusil_Stenig,199,200
Shopping,Fusil_Stenig,201,202
GASTech,Fusil_Stenig,203,203
Home,Fusil_Stenig,204,204
Dining,Fusil_Stenig,205,206
Home,Fusil_Stenig,207,218
GASTech,Fusil_Stenig,219,222
Dining,Fusil_Stenig,223,224
GASTech,Fusil_Stenig,225,228
Home,Fusil_Stenig,229,229
Dining,Fusil_Stenig,230,230
Home,Fusil_Stenig,231,242
GASTech,Fusil_Stenig,243,246
Dining,Fusil_Stenig,247,248
GASTech,Fusil_Stenig,249,252
Home,Fusil_Stenig,253,253
Dining,Fusil_Stenig,254,254
Home,Fusil_Stenig,255,265
Coffee,Fusil_Stenig,266,266
GASTech,Fusil_Stenig,267,270
Dining,Fusil_Stenig,271,272
GASTech,Fusil_Stenig,273,276
Dining,Fusil_Stenig,277,278
Home,Fusil_Stenig,279,300
Dining,Fusil_Stenig,301,302
Home,Fusil_Stenig,303,324
Dining,Fusil_Stenig,325,327
Coffee,Osvaldo_Hennie,2,2
GASTech,Osvaldo_Hennie,3,6
Dining,Osvaldo_Hennie,7,8
GASTech,Osvaldo_Hennie,9,12
Home,Osvaldo_Hennie,13,14
Coffee,Osvaldo_Hennie,15,15
Home,Osvaldo_Hennie,16,26
GASTech,Osvaldo_Hennie,27,30
Dining,Osvaldo_Hennie,31,32
GASTech,Osvaldo_Hennie,33,35
Home,Osvaldo_Hennie,36,37
Coffee,Osvaldo_Hennie,38,39
Home,Osvaldo_Hennie,40,50
GASTech,Osvaldo_Hennie,51,53
Unknown,Osvaldo_Hennie,54,55
Dining,Osvaldo_Hennie,56,56
GASTech,Osvaldo_Hennie,57,59
Home,Osvaldo_Hennie,60,74
GASTech,Osvaldo_Hennie,75,77
Unknown,Osvaldo_Hennie,78,78
Dining,Osvaldo_Hennie,79,80
GASTech,Osvaldo_Hennie,81,84
Home,Osvaldo_Hennie,85,85
Coffee,Osvaldo_Hennie,86,86
Home,Osvaldo_Hennie,87,97
Coffee,Osvaldo_Hennie,98,98
GASTech,Osvaldo_Hennie,99,102
Dining,Osvaldo_Hennie,103,104
GASTech,Osvaldo_Hennie,105,107
Home,Osvaldo_Hennie,108,109
Coffee,Osvaldo_Hennie,110,110
Home,Osvaldo_Hennie,111,125
Unknown,Osvaldo_Hennie,126,133
Coffee,Osvaldo_Hennie,134,134
Home,Osvaldo_Hennie,135,157
Coffee,Osvaldo_Hennie,158,158
Home,Osvaldo_Hennie,159,169
Coffee,Osvaldo_Hennie,170,170
GASTech,Osvaldo_Hennie,171,174
Coffee,Osvaldo_Hennie,175,176
GASTech,Osvaldo_Hennie,177,180
Home,Osvaldo_Hennie,181,181
Coffee,Osvaldo_Hennie,182,183
Home,Osvaldo_Hennie,184,193
Coffee,Osvaldo_Hennie,194,194
GASTech,Osvaldo_Hennie,195,198
Dining,Osvaldo_Hennie,199,200
GASTech,Osvaldo_Hennie,201,204
Home,Osvaldo_Hennie,205,205
Shopping,Osvaldo_Hennie,206,207
Home,Osvaldo_Hennie,208,217
Coffee,Osvaldo_Hennie,218,218
GASTech,Osvaldo_Hennie,219,221
Unknown,Osvaldo_Hennie,222,223
Dining,Osvaldo_Hennie,224,224
GASTech,Osvaldo_Hennie,225,228
Home,Osvaldo_Hennie,229,242
GASTech,Osvaldo_Hennie,243,245
Unknown,Osvaldo_Hennie,246,246
Dining,Osvaldo_Hennie,247,248
